ID,Label,Definition,Definition Source,See Also,Editor,Type,Parent Class,Disjoint Class,Domain,Range,Individual Weight
ID,A rdfs:label,A IAO:0000115,>A IAO:0000119,AI rdfs:seeAlso,A IAO:0000117,TYPE,SC %,DC %,DOMAIN,RANGE,I weight in kilograms
fw:l1,data types,,Fuqi Xu,,,class,,,,,
fw:l11,transcriptomcis,,,,,class,fw:l1,,,,
fw:l12,genomics,,,,,,fw:l1,,,,
fw:l2,principles,,,,,,,,,,
fw:l21,findability,,,,,,fw:l2,,,,
fw:l22,accessibility,,,,,,fw:l2,,,,
fw:l23,interoperability,,,,,,fw:l2,,,,
fw:l24,reusabilily,,,,,,fw:l2,,,,
fw:l3,roles,,,,,,,,,,
fw:l31,data curator,,,,,,fw:l3,,,,
fw:l32,project manager,,,,,,fw:l3,,,,
fw:l33,biologist,,,,,,fw:l3,,,,
fw:l34,ontologist,,,,,,fw:l3,,,,
fw:l35,software engineer,,,,,,fw:l3,,,,
fw:l36,funder,,,,,,fw:l3,,,,
fw:l37,procurement officer,,,,,,,,,,
fw:l38,data scientist,,,,,,,,,,
fw:l39,chemoinformatician,,,,,,fw:l38,,,,
fw:l40,bioinformation,,,,,,fw:l39,,,,
fw:l41,system administrator,,,,,,,,,,
fw:l42,terminology manager,,,,,,,,,,
fw:l5,data usage areas,,,,,,,,,,
fw:l51,,,,,,,,,,,
